period,minute,second,player_name,is_successful,x,y,end_x,end_y,position,pass_receiver,pass_receiver_position,formation
1,0,7,levi colwill,1,26.7,63.3,26.4,83.4,LCB,marc cucurella,LB,4231
1,0,9,marc cucurella,0,25.9,84.6,43.6,62.9,LB,,,4231
1,0,23,malo gusto,1,9.7,4.3,24.9,7.1,RB,noni madueke,RM,4231
1,0,39,wesley fofana,1,23.3,17.8,9.1,37.4,RCB,robert sanchez,GK,4231
1,0,43,robert sanchez,1,9.1,37.4,15.9,69.0,GK,levi colwill,LCB,4231
1,0,48,levi colwill,1,33.4,70.7,49.1,91.5,LCB,marc cucurella,LB,4231
1,0,52,marc cucurella,1,57.3,92.1,39.0,76.5,LB,levi colwill,LCB,4231
1,0,57,levi colwill,1,39.0,76.4,56.2,74.0,LCB,enzo fernandez,LCDM,4231
1,1,0,enzo fernandez,1,56.2,74.0,54.9,91.7,LCDM,marc cucurella,LB,4231
1,1,3,marc cucurella,1,58.4,90.2,71.2,91.1,LB,pedro neto,LM,4231
1,1,58,cole palmer,0,70.0,88.4,86.4,58.5,CAM,,,4231
1,2,3,malo gusto,1,61.2,71.9,69.3,89.9,RB,enzo fernandez,LCDM,4231
1,2,6,enzo fernandez,1,68.6,87.8,85.5,88.7,LCDM,marc cucurella,LB,4231
1,2,7,marc cucurella,1,85.5,88.7,79.4,94.7,LB,cole palmer,CAM,4231
1,2,9,cole palmer,1,79.4,94.7,74.4,87.0,CAM,enzo fernandez,LCDM,4231
1,2,11,enzo fernandez,1,73.5,86.9,58.6,71.6,LCDM,malo gusto,RB,4231
1,2,15,malo gusto,1,56.6,68.4,56.0,37.3,RB,moises caicedo,RCDM,4231
1,2,18,moises caicedo,1,56.4,37.3,62.1,8.0,RCDM,pedro neto,LM,4231
1,2,20,pedro neto,1,62.1,8.0,45.6,24.7,LM,moises caicedo,RCDM,4231
1,2,23,moises caicedo,1,44.8,29.0,44.8,50.1,RCDM,malo gusto,RB,4231
1,2,27,malo gusto,1,44.7,50.3,46.6,83.6,RB,marc cucurella,LB,4231
1,2,30,marc cucurella,1,46.6,83.6,37.5,65.1,LB,levi colwill,LCB,4231
1,2,32,levi colwill,1,37.5,65.1,20.5,49.0,LCB,robert sanchez,GK,4231
1,2,35,robert sanchez,1,20.5,49.1,28.4,66.8,GK,levi colwill,LCB,4231
1,2,40,levi colwill,1,39.8,68.0,56.0,88.2,LCB,marc cucurella,LB,4231
1,2,44,marc cucurella,1,62.0,86.9,75.5,90.9,LB,pedro neto,LM,4231
1,2,46,pedro neto,1,75.5,90.9,87.6,73.8,LM,enzo fernandez,LCDM,4231
1,2,48,enzo fernandez,0,87.6,73.8,97.5,49.6,LCDM,,,4231
1,3,14,wesley fofana,1,53.5,31.1,61.2,14.9,RCB,malo gusto,RB,4231
1,3,17,malo gusto,1,61.3,21.2,42.8,27.1,RB,wesley fofana,RCB,4231
1,3,21,wesley fofana,1,43.9,31.3,42.6,54.2,RCB,levi colwill,LCB,4231
1,3,27,levi colwill,1,39.3,59.1,38.3,34.3,LCB,moises caicedo,RCDM,4231
1,3,30,moises caicedo,1,38.7,34.7,52.4,10.6,RCDM,wesley fofana,RCB,4231
1,3,36,wesley fofana,1,57.2,42.4,59.4,67.5,RCB,marc cucurella,LB,4231
1,3,38,marc cucurella,1,60.6,75.3,64.7,91.7,LB,pedro neto,LM,4231
1,3,40,pedro neto,1,64.7,91.4,65.0,77.6,LM,enzo fernandez,LCDM,4231
1,3,41,enzo fernandez,1,64.7,76.4,57.0,85.8,LCDM,marc cucurella,LB,4231
1,3,43,marc cucurella,1,57.0,85.8,40.5,65.1,LB,levi colwill,LCB,4231
1,3,45,levi colwill,1,40.5,65.0,42.6,45.7,LCB,moises caicedo,RCDM,4231
1,3,48,moises caicedo,1,42.6,45.7,54.2,16.9,RCDM,wesley fofana,RCB,4231
1,3,51,wesley fofana,1,59.5,12.7,64.3,1.1,RCB,noni madueke,RM,4231
1,3,57,noni madueke,1,48.4,8.9,30.8,41.2,RM,robert sanchez,GK,4231
1,4,1,robert sanchez,1,30.8,41.2,40.0,63.5,GK,levi colwill,LCB,4231
1,4,6,levi colwill,1,56.6,70.7,61.7,89.0,LCB,marc cucurella,LB,4231
1,4,7,marc cucurella,1,61.8,89.1,52.4,79.4,LB,levi colwill,LCB,4231
1,4,14,levi colwill,1,44.1,68.7,47.2,88.4,LCB,marc cucurella,LB,4231
1,4,15,marc cucurella,0,47.2,88.4,57.2,100.0,LB,,,4231
1,4,47,malo gusto,1,60.5,17.9,64.6,29.0,RB,enzo fernandez,LCDM,4231
1,4,48,enzo fernandez,1,64.6,29.0,70.7,23.8,LCDM,cole palmer,CAM,4231
1,4,49,cole palmer,0,70.7,23.8,67.3,36.5,CAM,,,4231
1,6,11,malo gusto,1,58.8,0.0,41.7,12.5,RB,wesley fofana,RCB,4231
1,6,14,wesley fofana,1,43.2,19.6,40.1,42.8,RCB,levi colwill,LCB,4231
1,6,22,levi colwill,1,42.3,61.4,42.0,32.9,LCB,moises caicedo,RCDM,4231
1,6,25,moises caicedo,1,42.3,34.3,42.7,66.6,RCDM,levi colwill,LCB,4231
1,6,31,levi colwill,1,57.9,68.3,73.0,89.4,LCB,marc cucurella,LB,4231
1,6,33,marc cucurella,0,73.0,89.4,86.2,87.3,LB,,,4231
1,6,48,marc cucurella,1,80.9,100.0,93.2,81.0,LB,enzo fernandez,LCDM,4231
1,6,57,moises caicedo,0,65.2,87.2,79.2,86.0,RCDM,,,4231
1,7,3,marc cucurella,1,64.6,82.1,72.2,94.5,LB,pedro neto,LM,4231
1,7,57,wesley fofana,1,38.7,9.5,31.4,30.1,RCB,levi colwill,LCB,4231
1,7,59,levi colwill,1,30.1,38.6,34.6,67.5,LCB,marc cucurella,LB,4231
1,8,1,marc cucurella,1,34.6,67.5,41.4,85.2,LB,enzo fernandez,LCDM,4231
1,8,2,enzo fernandez,1,41.4,85.2,29.4,85.7,LCDM,marc cucurella,LB,4231
1,8,5,marc cucurella,1,29.4,85.7,26.6,65.7,LB,levi colwill,LCB,4231
1,8,7,levi colwill,1,28.8,65.0,30.6,31.1,LCB,moises caicedo,RCDM,4231
1,8,10,moises caicedo,1,31.0,31.3,31.7,59.1,RCDM,levi colwill,LCB,4231
1,8,12,levi colwill,1,31.6,59.6,33.2,29.3,LCB,moises caicedo,RCDM,4231
1,8,18,moises caicedo,1,38.0,30.8,45.2,9.5,RCDM,wesley fofana,RCB,4231
1,8,20,wesley fofana,1,45.2,9.5,54.1,19.0,RCB,malo gusto,RB,4231
1,8,21,malo gusto,0,54.1,16.8,59.5,0.0,RB,,,4231
1,9,0,moises caicedo,1,40.3,29.6,44.5,14.0,RCDM,wesley fofana,RCB,4231
1,9,1,wesley fofana,1,44.5,14.0,39.2,33.5,RCB,moises caicedo,RCDM,4231
1,9,2,moises caicedo,1,39.1,33.5,40.9,54.9,RCDM,levi colwill,LCB,4231
1,9,30,levi colwill,0,39.2,56.0,86.2,33.2,LCB,,,4231
1,9,35,noni madueke,1,71.6,46.9,76.2,61.2,RM,enzo fernandez,LCDM,4231
1,9,35,enzo fernandez,1,76.2,61.4,71.5,55.2,LCDM,noni madueke,RM,4231
1,9,41,noni madueke,1,73.2,23.9,73.3,7.7,RM,malo gusto,RB,4231
1,9,42,malo gusto,1,73.3,7.7,89.7,13.7,RB,noni madueke,RM,4231
1,9,45,noni madueke,0,90.2,16.1,88.0,40.4,RM,,,4231
1,9,50,malo gusto,1,73.8,16.0,61.5,34.9,RB,levi colwill,LCB,4231
1,9,53,levi colwill,1,61.5,34.9,63.3,13.7,LCB,moises caicedo,RCDM,4231
1,9,55,moises caicedo,1,63.3,13.7,70.4,5.8,RCDM,noni madueke,RM,4231
1,9,57,noni madueke,1,70.4,6.2,58.2,14.3,RM,moises caicedo,RCDM,4231
1,9,59,moises caicedo,1,58.2,14.3,58.1,78.6,RCDM,marc cucurella,LB,4231
1,10,5,marc cucurella,1,61.5,79.7,55.6,67.4,LB,levi colwill,LCB,4231
1,10,8,levi colwill,1,57.9,67.8,62.7,88.4,LCB,marc cucurella,LB,4231
1,10,10,marc cucurella,1,62.7,88.4,70.1,93.8,LB,pedro neto,LM,4231
1,10,13,pedro neto,0,64.7,90.3,71.7,69.2,LM,,,4231
1,10,23,levi colwill,1,35.5,62.1,42.7,39.2,LCB,malo gusto,RB,4231
1,10,25,malo gusto,1,42.3,40.4,47.3,28.1,RB,cole palmer,CAM,4231
1,10,27,cole palmer,0,45.8,36.8,54.5,49.4,CAM,,,4231
1,10,33,enzo fernandez,1,68.3,60.5,76.7,88.4,LCDM,pedro neto,LM,4231
1,10,38,pedro neto,0,88.4,83.3,87.5,78.3,LM,,,4231
1,10,49,marc cucurella,1,90.8,100.0,72.5,88.5,LB,levi colwill,LCB,4231
1,10,53,levi colwill,1,72.5,88.5,66.9,67.4,LCB,moises caicedo,RCDM,4231
1,10,56,moises caicedo,1,67.1,57.5,67.8,27.1,RCDM,wesley fofana,RCB,4231
1,10,59,wesley fofana,1,67.8,27.1,69.1,36.4,RCB,cole palmer,CAM,4231
1,11,4,cole palmer,1,67.6,39.4,71.6,10.3,CAM,noni madueke,RM,4231
1,11,7,noni madueke,1,70.3,10.6,60.1,24.5,RM,wesley fofana,RCB,4231
1,11,11,wesley fofana,1,60.2,24.7,67.8,19.7,RCB,malo gusto,RB,4231
1,11,13,malo gusto,1,67.8,19.7,38.6,54.3,RB,levi colwill,LCB,4231
1,11,19,levi colwill,1,38.6,54.3,47.3,82.5,LCB,marc cucurella,LB,4231
1,11,21,marc cucurella,1,47.3,82.5,45.7,63.5,LB,levi colwill,LCB,4231
1,11,25,levi colwill,1,52.5,64.4,56.5,53.4,LCB,cole palmer,CAM,4231
1,11,27,cole palmer,1,56.5,53.4,45.6,28.7,CAM,moises caicedo,RCDM,4231
1,11,30,moises caicedo,1,58.3,30.8,63.8,15.7,RCDM,wesley fofana,RCB,4231
1,11,33,wesley fofana,1,63.8,15.7,70.9,32.6,RCB,cole palmer,CAM,4231
1,12,19,malo gusto,1,56.8,9.7,40.4,14.2,RB,wesley fofana,RCB,4231
1,12,21,wesley fofana,1,40.4,14.2,14.9,49.1,RCB,robert sanchez,GK,4231
1,12,26,robert sanchez,1,14.3,55.4,20.3,85.5,GK,marc cucurella,LB,4231
1,12,51,wesley fofana,1,32.0,32.6,47.0,43.3,RCB,nicolas jackson,CF,4231
1,13,42,enzo fernandez,1,69.1,32.9,73.3,37.0,LCDM,cole palmer,CAM,4231
1,13,43,cole palmer,0,73.3,37.0,80.6,37.1,CAM,,,4231
1,13,48,robert sanchez,1,36.7,27.7,46.9,39.8,GK,enzo fernandez,LCDM,4231
1,13,52,enzo fernandez,1,46.7,42.1,40.1,62.0,LCDM,moises caicedo,RCDM,4231
1,13,54,moises caicedo,1,40.1,62.0,23.8,43.0,RCDM,robert sanchez,GK,4231
1,13,59,robert sanchez,0,25.5,38.8,84.6,88.4,GK,,,4231
1,14,10,enzo fernandez,1,41.8,64.5,35.7,69.2,LCDM,levi colwill,LCB,4231
1,14,14,levi colwill,1,36.8,68.4,37.9,53.0,LCB,enzo fernandez,LCDM,4231
1,14,17,enzo fernandez,1,37.8,48.1,49.5,11.0,LCDM,wesley fofana,RCB,4231
1,14,22,wesley fofana,1,60.7,13.3,65.7,3.2,RCB,noni madueke,RM,4231
1,14,28,noni madueke,1,75.3,6.1,67.3,15.5,RM,malo gusto,RB,4231
1,14,30,malo gusto,1,67.3,15.5,62.1,41.0,RB,moises caicedo,RCDM,4231
1,14,32,moises caicedo,1,62.1,41.0,65.4,71.9,RCDM,marc cucurella,LB,4231
1,14,34,marc cucurella,1,65.4,71.9,76.7,92.7,LB,pedro neto,LM,4231
1,14,37,pedro neto,1,76.4,92.7,68.9,72.5,LM,marc cucurella,LB,4231
1,14,39,marc cucurella,1,68.9,72.5,61.1,59.7,LB,moises caicedo,RCDM,4231
1,14,41,moises caicedo,1,61.1,59.7,68.2,61.2,RCDM,enzo fernandez,LCDM,4231
1,14,42,enzo fernandez,1,68.2,61.2,59.6,66.0,LCDM,moises caicedo,RCDM,4231
1,14,43,moises caicedo,1,59.6,66.0,54.4,43.9,RCDM,levi colwill,LCB,4231
1,14,46,levi colwill,1,56.5,41.8,60.3,14.0,LCB,wesley fofana,RCB,4231
1,14,47,wesley fofana,1,60.3,14.0,65.9,19.6,RCB,malo gusto,RB,4231
1,14,51,malo gusto,1,64.6,27.7,71.4,50.1,RB,enzo fernandez,LCDM,4231
1,14,53,enzo fernandez,0,71.4,50.1,92.0,49.6,LCDM,,,4231
1,16,1,robert sanchez,1,12.1,55.4,33.6,13.4,GK,malo gusto,RB,4231
1,16,3,malo gusto,1,33.5,13.4,27.1,44.9,RB,levi colwill,LCB,4231
1,16,5,levi colwill,1,27.1,44.9,32.4,70.7,LCB,marc cucurella,LB,4231
1,16,9,marc cucurella,0,35.9,70.2,71.3,73.7,LB,,,4231
1,17,53,marc cucurella,1,30.5,73.7,41.7,74.9,LB,levi colwill,LCB,4231
1,17,54,levi colwill,0,41.7,74.9,57.8,100.0,LCB,,,4231
1,19,20,malo gusto,1,32.6,31.0,35.6,59.0,RB,levi colwill,LCB,4231
1,19,23,levi colwill,1,29.9,60.2,9.6,48.1,LCB,robert sanchez,GK,4231
1,19,31,robert sanchez,1,10.9,40.1,14.9,61.5,GK,levi colwill,LCB,4231
1,19,33,levi colwill,1,14.9,61.5,21.4,88.7,LCB,marc cucurella,LB,4231
1,19,50,robert sanchez,1,25.3,58.4,26.1,78.8,GK,marc cucurella,LB,4231
1,19,54,marc cucurella,1,26.1,78.8,23.6,63.6,LB,levi colwill,LCB,4231
1,19,59,levi colwill,1,25.1,63.6,27.6,35.0,LCB,moises caicedo,RCDM,4231
1,20,1,moises caicedo,1,27.6,35.0,29.4,57.3,RCDM,levi colwill,LCB,4231
1,20,5,levi colwill,1,29.4,57.3,31.0,33.5,LCB,moises caicedo,RCDM,4231
1,20,8,moises caicedo,1,34.8,29.3,47.9,9.4,RCDM,wesley fofana,RCB,4231
1,20,17,noni madueke,1,60.7,1.9,60.1,3.1,RM,wesley fofana,RCB,4231
1,20,49,moises caicedo,1,33.6,26.0,37.6,57.6,RCDM,levi colwill,LCB,4231
1,20,51,levi colwill,1,45.9,64.7,58.7,86.1,LCB,marc cucurella,LB,4231
1,20,54,marc cucurella,1,58.6,84.2,40.6,86.4,LB,levi colwill,LCB,4231
1,20,57,levi colwill,1,40.2,80.9,38.9,50.1,LCB,moises caicedo,RCDM,4231
1,21,4,moises caicedo,1,41.1,44.9,44.3,11.9,RCDM,wesley fofana,RCB,4231
1,21,7,wesley fofana,1,44.3,11.9,87.1,19.4,RCB,noni madueke,RM,4231
1,22,0,moises caicedo,1,69.3,62.9,75.6,59.3,RCDM,enzo fernandez,LCDM,4231
1,22,1,enzo fernandez,1,75.6,59.3,73.4,36.1,LCDM,cole palmer,CAM,4231
1,22,3,cole palmer,1,73.4,36.1,77.0,16.4,CAM,noni madueke,RM,4231
1,22,6,noni madueke,1,77.0,17.0,89.0,25.1,RM,malo gusto,RB,4231
1,22,8,malo gusto,0,90.5,26.0,90.6,31.9,RB,,,4231
1,22,35,cole palmer,0,99.5,0.5,93.6,48.2,CAM,,,4231
1,22,39,enzo fernandez,0,71.2,36.8,92.7,50.1,LCDM,,,4231
1,22,43,nicolas jackson,1,94.7,78.6,77.1,81.9,CF,pedro neto,LM,4231
1,22,45,pedro neto,1,77.0,81.0,72.1,52.7,LM,enzo fernandez,LCDM,4231
1,22,48,enzo fernandez,0,72.1,52.7,95.2,42.5,LCDM,,,4231
1,23,25,cole palmer,0,99.5,0.5,96.7,42.5,CAM,,,4231
1,23,32,malo gusto,1,56.5,36.1,56.4,67.2,RB,moises caicedo,RCDM,4231
1,23,35,moises caicedo,1,56.4,67.2,71.3,90.9,RCDM,pedro neto,LM,4231
1,23,41,pedro neto,1,71.5,72.9,64.5,75.2,LM,moises caicedo,RCDM,4231
1,23,44,moises caicedo,1,66.4,67.2,67.2,15.8,RCDM,enzo fernandez,LCDM,4231
1,23,46,enzo fernandez,1,67.2,15.8,74.4,8.9,LCDM,cole palmer,CAM,4231
1,23,51,cole palmer,1,64.6,14.2,43.2,32.0,CAM,malo gusto,RB,4231
1,23,55,malo gusto,1,43.2,32.0,48.2,20.9,RB,cole palmer,CAM,4231
1,23,59,cole palmer,1,44.4,23.5,38.0,36.7,CAM,malo gusto,RB,4231
1,24,2,malo gusto,1,38.0,38.2,36.9,59.9,RB,moises caicedo,RCDM,4231
1,24,5,moises caicedo,1,36.9,60.5,43.0,91.8,RCDM,marc cucurella,LB,4231
1,24,9,marc cucurella,1,55.9,91.7,43.6,68.9,LB,moises caicedo,RCDM,4231
1,24,15,moises caicedo,1,43.5,66.5,42.3,19.9,RCDM,wesley fofana,RCB,4231
1,24,17,wesley fofana,1,42.3,19.9,55.9,6.1,RCB,enzo fernandez,LCDM,4231
1,24,44,levi colwill,1,29.6,35.6,42.0,15.2,LCB,noni madueke,RM,4231
1,24,49,noni madueke,1,67.9,22.6,87.9,31.3,RM,cole palmer,CAM,4231
1,24,52,cole palmer,1,87.9,31.3,97.9,53.4,CAM,nicolas jackson,CF,4231
1,28,49,robert sanchez,1,11.0,51.2,21.2,63.8,GK,levi colwill,LCB,4231
1,29,0,levi colwill,1,24.5,56.9,35.5,7.9,LCB,wesley fofana,RCB,4231
1,29,58,malo gusto,1,13.8,13.0,32.6,1.7,RB,noni madueke,RM,4231
1,30,5,noni madueke,1,55.1,10.7,54.2,16.3,RM,cole palmer,CAM,4231
1,30,5,cole palmer,1,54.2,16.3,68.7,13.4,CAM,noni madueke,RM,4231
1,30,39,wesley fofana,1,39.5,29.0,42.8,50.4,RCB,marc cucurella,LB,4231
1,30,41,marc cucurella,1,42.8,50.4,16.0,47.3,LB,robert sanchez,GK,4231
1,30,45,robert sanchez,1,16.3,47.0,23.3,67.1,GK,levi colwill,LCB,4231
1,30,47,levi colwill,1,23.3,67.2,34.7,65.4,LCB,moises caicedo,RCDM,4231
1,30,52,moises caicedo,1,33.5,67.2,54.7,88.1,RCDM,marc cucurella,LB,4231
1,30,55,marc cucurella,1,54.7,88.1,62.3,65.1,LB,enzo fernandez,LCDM,4231
1,30,56,enzo fernandez,1,62.5,66.3,59.7,54.3,LCDM,cole palmer,CAM,4231
1,30,59,cole palmer,1,59.7,54.3,67.4,7.0,CAM,noni madueke,RM,4231
1,31,2,noni madueke,1,67.4,7.0,78.7,12.8,RM,malo gusto,RB,4231
1,31,5,malo gusto,0,92.1,16.9,94.4,49.7,RB,,,4231
1,33,29,moises caicedo,1,40.3,60.9,31.4,71.3,RCDM,levi colwill,LCB,4231
1,33,30,levi colwill,1,31.4,71.3,9.5,56.6,LCB,robert sanchez,GK,4231
1,33,34,robert sanchez,1,9.9,63.6,18.7,93.0,GK,marc cucurella,LB,4231
1,33,37,marc cucurella,1,18.7,93.0,12.0,86.9,LB,levi colwill,LCB,4231
1,33,38,levi colwill,1,12.0,86.7,4.6,56.0,LCB,robert sanchez,GK,4231
1,33,41,robert sanchez,1,5.9,54.9,22.6,41.5,GK,cole palmer,CAM,4231
1,33,43,cole palmer,1,22.5,41.5,19.0,74.6,CAM,levi colwill,LCB,4231
1,33,49,levi colwill,0,28.3,73.1,40.6,86.0,LCB,,,4231
1,34,39,levi colwill,1,37.3,71.4,37.5,42.2,LCB,moises caicedo,RCDM,4231
1,34,41,moises caicedo,1,37.2,42.5,35.8,63.2,RCDM,levi colwill,LCB,4231
